municipality,avg_price,avg_surface,population,pop_density,size,avg_income,schiphol_distance,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,m2_price
Eijsden-Margraten,401290.0,171.0,25991.0,335.0,7756.0,38.6,182.6845579521093,1,0,0,0,0,1,0,2346.7251461988303
Eindhoven,404275.0,108.0,243730.0,2769.0,8802.0,33.3,107.91094784815725,2,0,0,0,0,1,1,3743.287037037037
Elburg,391847.0,129.0,24037.0,377.0,6382.0,35.2,75.56513177951268,1,0,0,0,0,1,0,3037.5736434108526
Emmen,297463.0,132.0,108765.0,324.0,33533.0,31.5,157.33115822827057,3,3,0,0,0,0,0,2253.507575757576
Enkhuizen,340683.0,112.0,18885.0,1491.0,1266.0,34.8,56.8618086871655,1,0,0,0,0,1,0,3041.8125
Enschede,330955.0,107.0,161235.0,1146.0,14073.0,29.2,145.29796454336847,4,0,1,0,0,3,0,3093.03738317757
Epe,487968.0,136.0,33283.0,213.0,15612.0,37.0,81.98041413271734,0,0,0,0,0,0,0,3588.0
Ermelo,489950.0,131.0,27496.0,321.0,8564.0,37.5,62.64243003713937,1,0,0,0,0,1,0,3740.0763358778627
Etten-Leur,404599.0,127.0,44578.0,806.0,5529.0,35.6,82.44303491518464,1,0,0,0,1,0,0,3185.818897637795
De Fryske Marren,363811.0,152.0,51992.0,148.0,35121.0,35.1,93.82408314992531,0,0,0,0,0,0,0,2393.4934210526317
Geertruidenberg,386542.0,128.0,22099.0,831.0,2660.0,35.7,69.45250723064068,0,0,0,0,0,0,0,3019.859375
Geldrop-Mierlo,434446.0,133.0,40441.0,1304.0,3101.0,36.8,114.00088959483523,1,0,0,1,0,0,0,3266.5112781954886
Gemert-Bakel,438779.0,165.0,31383.0,257.0,12207.0,35.3,110.40071509831499,0,0,0,0,0,0,0,2659.266666666667
Gennep,381468.0,147.0,17764.0,373.0,4757.0,34.6,108.89878840420558,0,0,0,0,0,0,0,2595.0204081632655
Gilze en Rijen,404290.0,132.0,26815.0,410.0,6538.0,35.3,84.77027326661282,1,0,0,0,0,1,0,3062.8030303030305
Goeree-Overflakkee,386668.0,129.0,51590.0,197.0,26220.0,36.9,76.19021060138842,0,0,0,0,0,0,0,2997.4263565891474
Goes,344828.0,121.0,39433.0,426.0,9248.0,34.9,108.46327961428521,1,0,0,0,0,1,0,2849.818181818182
Goirle,469884.0,137.0,24177.0,563.0,4297.0,37.8,91.47609843843374,0,0,0,0,0,0,0,3429.810218978102
Gooise Meren,656361.0,124.0,60341.0,1456.0,4143.0,46.3,26.203986747515152,2,0,0,1,0,1,0,5293.2338709677415
Gorinchem,395739.0,106.0,38461.0,2055.0,1871.0,37.7,55.257518630721584,1,0,0,1,0,0,0,3733.3867924528304
Gouda,363025.0,102.0,75316.0,4565.0,1650.0,34.9,33.5102681211626,2,0,1,0,0,1,0,3559.0686274509803
's-Gravenhage,413689.0,94.0,562839.0,6827.0,8244.0,33.8,41.08488884158293,4,0,1,0,0,2,1,4400.946808510638
Groningen,349931.0,103.0,238147.0,1284.0,18553.0,28.7,161.10135159990887,4,0,1,0,0,3,0,3397.3883495145633
Gulpen-Wittem,355648.0,161.0,14210.0,194.0,7318.0,35.8,186.18883732600133,0,0,0,0,0,0,0,2208.9937888198756
Haaksbergen,371944.0,144.0,24502.0,234.0,10478.0,35.3,137.9497054414009,0,0,0,0,0,0,0,2582.9444444444443
Haarlem,507289.0,101.0,165396.0,5662.0,2921.0,37.6,10.174356641230732,2,0,1,0,0,1,0,5022.663366336634
Haarlemmermeer,507636.0,115.0,162300.0,823.0,19721.0,39.7,4.246556955120834,4,0,0,0,0,3,1,4414.226086956522
Halderberge,398819.0,142.0,31041.0,417.0,7444.0,35.6,82.09400735784004,1,0,0,0,0,1,0,2808.5845070422533
Hardenberg,349124.0,142.0,62509.0,200.0,31216.0,34.8,127.36002972350565,3,1,0,0,0,1,0,2458.6197183098593
Harderwijk,437767.0,116.0,48906.0,1256.0,3892.0,35.3,61.67953747584413,1,0,0,1,0,0,0,3773.853448275862
Hardinxveld-Giessendam,374112.0,115.0,18681.0,1108.0,1686.0,36.3,54.28454722784807,3,0,0,0,0,3,0,3253.1478260869567
Harlingen,298340.0,125.0,16188.0,649.0,2496.0,31.4,106.62640335460989,2,0,0,0,0,2,0,2386.72
Hattem,469519.0,139.0,12563.0,545.0,2307.0,38.0,90.25946713313797,0,0,0,0,0,0,0,3377.834532374101
Heemskerk,429159.0,113.0,39431.0,1446.0,2727.0,36.1,22.872292284425818,1,0,0,0,0,1,0,3797.8672566371683
Heemstede,708279.0,130.0,27778.0,3029.0,917.0,48.9,9.528303460275042,1,0,0,0,1,0,0,5448.3
Heerde,479099.0,129.0,19214.0,245.0,7855.0,36.1,89.05951564855133,0,0,0,0,0,0,0,3713.9457364341083
Heerenveen,362420.0,138.0,51637.0,272.0,18997.0,33.6,112.28070260686808,3,0,0,0,1,1,0,2626.231884057971
Heerlen,246595.0,115.0,87122.0,1940.0,4491.0,29.3,179.13700549372106,3,0,1,0,0,2,0,2144.304347826087
Heeze-Leende,482660.0,170.0,16627.0,160.0,10392.0,41.1,120.21698635910938,1,0,0,0,0,1,0,2839.176470588235
Heiloo,555327.0,123.0,24319.0,1300.0,1871.0,41.3,31.738046898073527,1,0,0,0,0,1,0,4514.8536585365855
Den Helder,262913.0,106.0,56539.0,1254.0,4510.0,32.1,67.36579620242398,2,0,0,0,1,1,0,2480.311320754717
Hellendoorn,378769.0,132.0,36261.0,263.0,13793.0,35.2,115.94211095690616,2,0,0,0,0,2,0,2869.462121212121
Helmond,389050.0,121.0,94898.0,1785.0,5317.0,33.5,112.29910325711766,4,0,1,0,0,3,0,3215.289256198347
Hendrik-Ido-Ambacht,413446.0,120.0,32183.0,3159.0,1019.0,38.8,53.30973547799413,0,0,0,0,0,0,0,3445.383333333333
Hengelo,323659.0,119.0,82311.0,1353.0,6084.0,32.8,138.25549371595514,3,0,1,0,0,2,0,2719.823529411765
's-Hertogenbosch,443955.0,115.0,158753.0,1450.0,10948.0,36.6,78.41852273771579,3,0,1,0,0,2,0,3860.478260869565
