municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station,log_traffic,log_avg_income,log_distance,log_homes_per_capita,log_multy_family,log_m2_price,c_log_multy_fam,c_log_traffic,c_log_distance,traffic_x_multy_fam,traffic_x_distance,traffic_x_c_multy_fam,traffic_x_c_distance
Bodegraven-Reeuwijk,3508.5801526717555,36308.0,482.0,7540.0,40.6,0.4151702104219456,2.9,75.7,20.279952235637523,24.488730064821272,1,105.0,1,4.653960350157523,3.7037680666076866,3.1982130143652086,-0.8790666972431027,3.0096328234755108,8.162966719713355,-0.16073901973471116,0.001995529218012493,-0.15909117763004588,14.006711828987664,14.884356560213453,-0.00032075941035530285,-0.00031747109328877205
Borne,2648.2587412587413,24524.0,944.0,2599.0,36.6,0.42028217256565,2.9,75.5,14.786067720966333,101.64550126327033,1,79.0,1,4.3694478524670215,3.600048240407321,4.621491281970242,-0.8668289538457858,2.69368536719789,7.881657624239114,-0.4766864760123317,-0.2825169684724891,1.2641870899749872,11.769917742924662,20.193365157199935,0.13467201811483784,-0.3571543042417912
Boxtel,3161.2836879432625,33748.0,489.0,6901.0,37.1,0.4358480502548299,3.0,74.3,26.5211775103678,20.08853592815738,1,127.0,1,4.844187086458591,3.6136169696133895,3.000149300519585,-0.8304616049661744,3.2779435651754047,8.058733454453536,0.10757172196518283,0.19222226551908062,-0.35715489147566926,15.878971888562731,14.53328449902475,0.020677680101936092,-0.06865312238067452
Breda,3737.264957264957,186438.0,1483.0,12569.0,36.1,0.46517877256782414,3.7,74.2,39.95410887036333,42.41799838918203,2,163.5,1,5.096812990337308,3.586292865338835,3.7475727624782857,-0.765333490144383,3.6877315172455374,8.226109328033122,0.5173596740353155,0.4448481693977975,0.3902685704830313,18.795677901973367,19.100677538033597,0.2301465039148513,0.1736102591528718
Bronckhorst,2767.7345679012346,36277.0,128.0,28353.0,38.1,0.45133280039694573,2.6,72.5,17.058572039333047,81.05393147066654,1,62.0,1,4.127134385045092,3.6402142821326553,4.39511475373774,-0.7955502949831275,2.836652836293776,7.925784419040258,-0.33371900691644596,-0.5248304358944189,1.0378105617424858,11.707247459103728,18.139229226370016,0.17514589186621093,-0.5446745694951406
Brummen,2915.091603053435,21105.0,252.0,8363.0,36.5,0.4570954750059228,2.9,72.8,12.293977402301232,68.12577000167342,2,60.0,1,4.0943445622221,3.597312260588446,4.22135555569639,-0.7828629930460455,2.5091095003752084,7.977656523009006,-0.6612623428350135,-0.5576202587174102,0.8640513637011358,10.273158838881045,17.28368416467157,0.368733278691741,-0.4818125449721584
Bunnik,4077.607407407407,16026.0,434.0,3693.0,41.2,0.4220641457631349,2.8,76.6,18.125369603784744,8.350846398667738,1,86.0,1,4.454347296253507,3.7184382563554808,2.122362898835577,-0.862597972319545,2.897312592465777,8.313265675633808,-0.2730592507444447,-0.19761752468600324,-1.2349412931596775,12.905636512651174,9.453741440097009,0.05396129322473185,0.24404604148674733
Capelle aan den IJssel,3549.4077669902913,67552.0,4777.0,1414.0,34.5,0.4661297963050687,4.1,71.2,55.50050813008131,7.286224080795859,1,78.0,1,4.356708826689592,3.5409593240373143,1.9859854530950365,-0.7632911507960672,4.016392176207438,8.174536042352505,0.8460203329972158,-0.2952559942499189,-1.371318738900218,17.49825124552996,8.652360353176274,-0.2497925745747404,0.40489007768752877
Castricum,3970.1147540983607,36345.0,732.0,4964.0,41.1,0.44969046636401155,2.8,74.1,22.90748898678414,25.858057866268293,1,195.0,1,5.272999558563747,3.716008121502189,3.2526222686776527,-0.7991957854212779,3.131463887088116,8.286550278577934,-0.03890795612210596,0.6210347376242362,-0.10468192331760173,16.51220769427395,17.151075786911875,-0.024163192321787368,-0.06501111078154721
Coevorden,2444.4444444444443,35700.0,121.0,29611.0,33.8,0.4452380952380952,3.0,69.4,13.324944951242529,54.42501384610618,2,63.5,1,4.151039905898646,3.520460802488973,3.9968238615276745,-0.8091460944228275,2.58963783880454,7.801573155004234,-0.5807340044056821,-0.5009249150408648,0.6395196695324201,10.74969001070277,16.5909753460493,0.2909041318182575,-0.32035133612748945
