code,station_name,type,geo_lat,geo_lng,municipality,station_code,traffic_count
KPNZ,Kampen Zuid,local_train_station,52.5331,5.91309,Kampen,KPNZ,75.46027397260274
BZL,Kapelle-Biezelinge,local_train_station,51.480834960938,3.9561111927033,Kapelle,BZL,80.78904109589041
KRD,Kerkrade Centrum,interchange_local_train_station,50.861667633057,6.0574998855591,Kerkrade,KRD,70.6027397260274
KTR,Kesteren,local_train_station,51.9313869,5.5833465,Neder-Betuwe,KTR,53.12054794520549
KBK,Klarenbeek,local_train_station,52.17805480957,6.0836110115051,Voorst,KBK,51.608219178082194
KMR,Klimmen-Ransdaal,local_train_station,50.866390228271,5.8905553817749,Voerendaal,KMR,73.12054794520547
KZ,Koog aan de Zaan,local_train_station,52.458610534668,4.8055553436279,Zaanstad,KZ,99.74520547945205
KMW,Koudum-Molkwerum,local_train_station,52.9028197,5.4106913,Súdwest-Fryslân,KMW,44.42465753424658
KBD,Krabbendijke,local_train_station,51.433334350586,4.1169443130493,Reimerswaal,KBD,79.61095890410958
KMA,Krommenie-Assendelft,local_train_station,52.49511,4.75417,Zaanstad,KMA,99.75068493150685
KW,Kropswolde,local_train_station,53.1617362,6.7220882,Midden-Groningen,KW,125.85205479452054
KRG,Kruiningen-Yerseke,local_train_station,51.465000152588,4.0372223854065,Reimerswaal,KRG,80.79452054794521
ZLW,Lage Zwaluwe,interchange_local_train_station,51.69111251831,4.6630554199219,Moerdijk,ZLW,140.20547945205482
LG,Landgraaf,interchange_local_train_station,50.896389007568,6.019166469574,Landgraaf,LG,107.32328767123286
LLZM,Lansingerland-Zoetermeer,local_train_station,52.042222,4.517222,Zoetermeer,LLZM,93.51506849315068
LDM,Leerdam,local_train_station,51.894721984863,5.0913887023926,Vijfheerenlanden,LDM,62.86575342465754
LW,Leeuwarden,interchange_intercity_station,53.195835113525,5.7922220230103,Leeuwarden,LW,367.1205479452055
LWC,Leeuwarden Camminghaburen,local_train_station,53.2021808,5.8422968,Leeuwarden,LWC,61.75342465753424
LEDN,Leiden Centraal,interchange_intercity_station,52.166110992432,4.4816665649414,Leiden,LEDN,564.4438356164384
LDL,Leiden Lammenschans,local_train_station,52.146945953369,4.4924998283386,Leiden,LDL,106.13972602739726
LLS,Lelystad Centrum,interchange_intercity_station,52.507778167725,5.4727778434753,Lelystad,LLS,173.20273972602737
LTV,Lichtenvoorde-Groenlo,local_train_station,52.01188,6.59641,Oost Gelre,LTV,62.76164383561643
