municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station
Dronten,2897.0814814814817,43593.0,131.0,33360.0,35.1,0.4208015048287569,3.1,74.6,13.622982991713911,56.094483157956574,1,77.0,1
Druten,2770.176056338028,19505.0,520.0,3752.0,36.0,0.43235067931299664,2.8,74.8,18.29716589588521,41.22265871076654,0,,0
Duiven,2957.2109375,24937.0,736.0,3388.0,35.9,0.4356979588563179,3.0,74.3,13.83341003221353,63.32896995207005,1,107.0,1
Echt-Susteren,2024.61875,31967.0,310.0,10302.0,34.6,0.4664497763318422,3.1,68.7,15.954664341761116,30.169213000896153,2,68.5,1
Edam-Volendam,3138.203125,36760.0,677.0,5432.0,40.2,0.4264961915125136,2.6,74.6,13.592294935578517,20.78526352589761,0,,0
Ede,3573.233333333333,122012.0,384.0,31815.0,36.4,0.423876340032128,3.1,75.7,32.51092462972272,41.45822972924833,4,123.0,1
Eemnes,3481.17037037037,9598.0,309.0,3104.0,40.9,0.42977703688268387,2.9,75.0,10.303030303030303,20.866771761508023,0,,0
Eemsdelta,1836.1702127659576,45394.0,169.0,26807.0,31.0,0.5196061153456404,3.7,68.1,20.248441938355874,21.807330148087274,5,61.2,1
Eersel,2997.626506024096,20004.0,243.0,8247.0,40.5,0.4330133973205359,2.6,75.5,17.063033941353037,10.690952878342332,0,,0
Eijsden-Margraten,2346.7251461988303,25991.0,335.0,7756.0,38.6,0.441999153553153,2.8,71.6,15.215877437325906,8.015425791865475,1,34.0,1
Eindhoven,3743.287037037037,243730.0,2769.0,8802.0,33.3,0.48550855454806546,4.1,73.9,40.75279085293198,3.007639412129022,2,281.0,1
Elburg,3037.5736434108526,24037.0,377.0,6382.0,35.2,0.40608228980322003,2.8,76.2,15.264829423214834,61.13067970355045,1,74.0,1
Emmen,2253.507575757576,108765.0,324.0,33533.0,31.5,0.4627591596561394,3.5,67.8,20.517762059922116,58.55049560472552,3,75.0,1
Enkhuizen,3041.8125,18885.0,1491.0,1266.0,34.8,0.4727032036007413,3.3,72.8,26.64949031029461,45.990299002378194,1,81.0,1
Enschede,3093.03738317757,161235.0,1146.0,14073.0,29.2,0.47792972989735477,4.4,70.3,37.0560220091099,112.97458495233305,4,114.0,1
Epe,3588.0,33283.0,213.0,15612.0,37.0,0.44599345010966557,2.8,73.0,21.53058474804635,62.45979163927692,0,,0
Ermelo,3740.0763358778627,27496.0,321.0,8564.0,37.5,0.4235888856560954,2.9,73.7,23.499613634412295,43.27377462520007,1,71.0,1
Etten-Leur,3185.818897637795,44578.0,806.0,5529.0,35.6,0.4434025752613397,3.2,73.8,20.105231205099667,40.30491935641916,1,77.0,1
De Fryske Marren,2393.4934210526317,51992.0,148.0,35121.0,35.1,0.4537813509770734,3.1,72.6,9.392616454032975,65.59968520322967,0,,0
Geertruidenberg,3019.859375,22099.0,831.0,2660.0,35.7,0.4579392732702837,2.8,75.2,21.679841897233203,37.60182704603099,0,,0
Geldrop-Mierlo,3266.5112781954886,40441.0,1304.0,3101.0,36.8,0.45270888454785985,3.3,73.5,22.017697181559974,8.655620995181726,1,59.0,1
Gemert-Bakel,2659.266666666667,31383.0,257.0,12207.0,35.3,0.41388649906000063,2.8,74.5,15.012703056432366,24.092427214843518,0,,0
Gennep,2595.0204081632655,17764.0,373.0,4757.0,34.6,0.4337424003602792,3.2,71.9,13.251135626216742,47.530115228837225,0,,0
Gilze en Rijen,3062.8030303030305,26815.0,410.0,6538.0,35.3,0.42916278202498603,2.9,73.8,15.415363225582205,40.54459132866228,1,63.0,1
Goeree-Overflakkee,2997.4263565891474,51590.0,197.0,26220.0,36.9,0.43737158364024037,2.7,75.4,14.146427938308811,31.16079436735829,0,,0
Goes,2849.818181818182,39433.0,426.0,9248.0,34.9,0.483757259148429,2.8,73.8,26.252883204026002,63.02298899804319,1,114.0,1
Goirle,3429.810218978102,24177.0,563.0,4297.0,37.8,0.4368201182942466,2.9,73.1,16.29580532146577,31.323537633416457,0,,0
Gooise Meren,5293.2338709677415,60341.0,1456.0,4143.0,46.3,0.45723471603055965,3.3,75.1,32.45378760420442,17.168525974838353,2,148.0,1
Gorinchem,3733.3867924528304,38461.0,2055.0,1871.0,37.7,0.462520475286654,3.4,74.0,43.628084771488,29.676546077729686,1,113.0,1
Gouda,3559.0686274509803,75316.0,4565.0,1650.0,34.9,0.4577646184077752,3.5,73.0,41.75247266293471,18.440703576835446,2,318.5,1
's-Gravenhage,4400.946808510638,562839.0,6827.0,8244.0,33.8,0.48010176977785834,4.7,69.3,78.74583672563097,0.25733695520084854,4,294.0,1
Groningen,3397.3883495145633,238147.0,1284.0,18553.0,28.7,0.5152909757418738,4.8,71.2,60.99009900990099,3.634166000012917,4,242.0,1
Gulpen-Wittem,2208.9937888198756,14210.0,194.0,7318.0,35.8,0.48501055594651654,3.0,67.4,21.140452698781196,15.785624980182005,0,,0
Haaksbergen,2582.9444444444443,24502.0,234.0,10478.0,35.3,0.4353114031507632,2.9,73.6,17.185449090568163,111.88248625705948,0,,0
Haarlem,5022.663366336634,165396.0,5662.0,2921.0,37.6,0.4715954436624828,3.7,75.1,50.532051282051285,17.498666615974525,2,259.5,1
Haarlemmermeer,4414.226086956522,162300.0,823.0,19721.0,39.7,0.4107147258163894,3.5,76.0,25.684453712176904,16.178712625763882,4,318.75,1
Halderberge,2808.5845070422533,31041.0,417.0,7444.0,35.6,0.4414161914886763,3.1,72.7,13.30462706174281,37.23704110914612,1,66.0,1
Hardenberg,2458.6197183098593,62509.0,200.0,31216.0,34.8,0.41344446399718443,2.9,74.9,15.059588299024917,70.48844102567934,3,98.33333333333333,1
Harderwijk,3773.853448275862,48906.0,1256.0,3892.0,35.3,0.44070257228151966,3.1,74.9,32.66366631095439,45.73209502051127,1,72.0,1
Hardinxveld-Giessendam,3253.1478260869567,18681.0,1108.0,1686.0,36.3,0.404153953214496,2.7,77.2,24.82119205298013,27.82207040224493,3,96.33333333333333,1
Harlingen,2386.72,16188.0,649.0,2496.0,31.4,0.4963553249320484,3.5,70.0,23.360298693217175,74.57890013013235,2,64.0,1
Hattem,3377.834532374101,12563.0,545.0,2307.0,38.0,0.43516675953195894,2.8,75.7,17.76111212730931,76.40976533132637,0,,0
Heemskerk,3797.8672566371683,39431.0,1446.0,2727.0,36.1,0.45350105247140576,3.3,72.8,34.07896208477799,23.672351837360203,1,76.0,1
Heemstede,5448.3,27778.0,3029.0,917.0,48.9,0.4630642954856361,3.2,73.2,35.34167768016792,19.753095448327354,1,178.0,1
Heerde,3713.9457364341083,19214.0,245.0,7855.0,36.1,0.42651191839283853,2.6,74.3,17.071384990848077,72.37780575639327,0,,0
Heerenveen,2626.231884057971,51637.0,272.0,18997.0,33.6,0.46497666401998566,3.5,73.3,23.91503540191587,46.474246706746705,3,64.33333333333333,1
Heerlen,2144.304347826087,87122.0,1940.0,4491.0,29.3,0.5334358715364661,4.1,64.0,37.18423204372337,20.022701589564207,3,133.0,1
Heeze-Leende,2839.176470588235,16627.0,160.0,10392.0,41.1,0.4267155830877488,2.7,73.2,9.894291754756871,10.072767993447455,1,59.0,1
Heiloo,4514.8536585365855,24319.0,1300.0,1871.0,41.3,0.45737900407089105,3.0,73.0,25.54167041265846,29.034295937967865,1,160.0,1
Den Helder,2480.311320754717,56539.0,1254.0,4510.0,32.1,0.5043951962362263,3.5,70.4,26.94087944456133,62.44045972449651,2,82.5,1
Hellendoorn,2869.462121212121,36261.0,263.0,13793.0,35.2,0.41534982488072586,2.7,75.5,15.41066330256955,92.8451267650437,2,65.0,1
Helmond,3215.289256198347,94898.0,1785.0,5317.0,33.5,0.4461316360724146,3.8,72.7,27.396839643810377,14.851845587088581,4,81.5,1
Hendrik-Ido-Ambacht,3445.383333333333,32183.0,3159.0,1019.0,38.8,0.39539508436130877,2.9,77.8,23.607072691552062,14.422595875231071,0,,0
Hengelo,2719.823529411765,82311.0,1353.0,6084.0,32.8,0.4801666848902334,3.6,73.2,30.03061508488728,108.13710729499954,3,138.33333333333334,1
's-Hertogenbosch,3860.478260869565,158753.0,1450.0,10948.0,36.6,0.4739815940486164,3.3,74.3,40.3024745501422,33.5281007101324,3,213.33333333333334,1
Heumen,2890.072847682119,16824.0,423.0,3973.0,39.1,0.43859961959106036,3.0,74.1,17.31941997560645,46.493706021632384,0,,0
Heusden,3091.75,45830.0,581.0,7886.0,37.1,0.43118044948723544,2.8,74.4,15.363594959769241,36.87066714262612,0,,0
Hillegom,3823.973214285714,22453.0,1747.0,1286.0,36.8,0.4508974301875028,3.0,75.5,31.21295930462268,23.614242337082544,1,80.0,1
Hilvarenbeek,3115.9281437125746,15949.0,168.0,9487.0,39.2,0.4407799862060317,2.5,74.9,12.162162162162163,22.871824154002145,0,,0
Hilversum,4722.028037383177,93345.0,2047.0,4561.0,38.7,0.46727730462263645,3.6,74.3,41.92535191893255,15.040367730886707,3,188.33333333333334,1
Hoeksche Waard,3269.3225806451615,89760.0,334.0,26854.0,39.0,0.4347816399286987,2.7,75.3,16.840055347716905,17.174964062989307,0,,0
Hof van Twente,2556.8129032258066,35455.0,167.0,21243.0,36.7,0.4351431391905232,2.8,74.4,14.791288566243194,101.43271831201484,2,63.0,1
Het Hogeland,1661.5058139534883,48298.0,101.0,47674.0,32.3,0.47233839910555303,3.1,70.7,10.261692894402314,17.79113310193402,10,66.8,1
Hollands Kroon,2618.062068965517,49431.0,138.0,35763.0,35.2,0.43397867734822276,2.9,73.5,10.54913294797688,51.51465133711188,1,81.0,1
Hoogeveen,2438.4761904761904,56433.0,442.0,12754.0,32.0,0.456736306770861,3.2,72.5,26.001939864209504,55.28106382751795,1,72.0,1
Hoorn,3387.6071428571427,75216.0,3692.0,2037.0,34.8,0.45641884705381836,3.5,72.4,29.452374016894844,33.94201101777363,2,166.5,1
Horst aan de Maas,2247.117283950617,43641.0,231.0,18867.0,35.9,0.4218280974313146,2.8,76.2,12.091911564995382,40.06247127886007,1,84.0,1
Houten,4234.435483870968,50581.0,921.0,5490.0,40.6,0.4194658073189538,2.8,76.0,25.196776170052317,10.251492496840836,2,168.5,1
Huizen,4500.567796610169,41252.0,2609.0,1581.0,39.3,0.4636866091341026,3.3,71.4,28.54454203262233,23.52279431462882,0,,0
Hulst,1999.0069444444443,27596.0,137.0,20126.0,35.1,0.494600666763299,2.8,68.9,10.454978386694997,72.62104182421959,0,,0
IJsselstein,4101.051724137931,33492.0,1594.0,2101.0,39.2,0.4339245192881882,3.2,75.8,31.053464529002962,9.46388626846414,0,,0
Kaag en Braassem,3781.031007751938,28573.0,453.0,6313.0,39.9,0.43320617366044867,2.8,76.5,19.591210211665857,26.156722932668846,0,,0
Kampen,2781.3228346456694,55614.0,394.0,14123.0,33.9,0.4196784982198727,3.0,76.4,23.748928877463584,72.84440683332225,2,72.0,1
Kapelle,2736.3795620437954,13051.0,351.0,3713.0,36.6,0.4237223201287258,2.4,76.3,9.52983725135624,60.24487002752045,1,80.0,1
Katwijk,4373.07476635514,66607.0,2685.0,2481.0,36.8,0.4120287657453421,2.8,77.0,41.16018073167177,15.727617574885386,0,,0
