municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,traffic,has_station,log_avg_income,log_distance,log_homes_per_capita,log_multy_family,log_m2_price,station_x_multy_fam,station_x_pop_den,station_x_distance
Alphen-Chaam,2700.7602339181285,10463.0,113.0,9298.0,40.0,0.431711746153111,2.6,73.1,11.15784812928935,40.92021089877641,0,0,3.6888794541139363,3.7116240949991863,-0.8399971677264432,2.4121431184048556,7.901288580477383,0.0,0.0,0.0
Altena,2890.7357142857145,57726.0,289.0,19974.0,37.5,0.40189862453660397,2.6,75.6,12.581896551724137,36.6595570002709,0,0,3.624340932976365,3.601674158330661,-0.9115553999349183,2.532258999187805,7.969266321125621,0.0,0.0,0.0
Ameland,2454.5416666666665,3840.0,68.0,5659.0,47.5,0.48411458333333335,2.9,74.6,20.763851533082303,60.50234108626485,0,0,3.8607297110405954,4.10268205992888,-0.7254336578603285,3.033213567731478,7.805695328977029,0.0,0.0,0.0
Amersfoort,4160.9375,160759.0,2572.0,6249.0,37.6,0.43992560292114286,3.6,76.4,37.583778739289045,20.195481300237503,1014,1,3.6270040503958487,3.005458881374983,-0.8211496506363168,3.6265725408007032,8.333495688442351,3.6265725408007032,2572.0,3.005458881374983
Amstelveen,5697.981481481482,94418.0,2297.0,4111.0,40.7,0.4541506916054142,4.1,73.8,51.7607276119403,9.440665154583757,0,0,3.706228092448549,2.2450264389657812,-0.7893262161782774,3.9466317075115436,8.647867265049323,0.0,0.0,0.0
Amsterdam,7378.714285714285,918117.0,4880.0,18812.0,36.8,0.517217304548331,5.0,72.9,87.36254016922669,0.4484067223779206,3777,1,3.6054978451748854,-0.8020545959742962,-0.659292174507388,4.47006658860256,8.906354686389268,4.47006658860256,4880.0,-0.8020545959742962
Apeldoorn,3396.875,167191.0,492.0,33986.0,35.3,0.44916293341148744,3.3,73.8,29.365079365079367,55.65205614368325,354,1,3.5638829639392506,4.019119024814082,-0.800369576415949,3.3798061916808377,8.130611170309574,3.3798061916808377,492.0,4.019119024814082
Arnhem,3549.173076923077,165770.0,1696.0,9774.0,31.7,0.4814924292694697,4.0,72.5,48.99081649272711,53.710539806357104,922,1,3.456316680883235,3.983609254255191,-0.7308647710877763,3.8916328620298084,8.174469919257634,3.8916328620298084,1696.0,3.983609254255191
Assen,2807.563025210084,69414.0,848.0,8188.0,32.8,0.4753796064194543,3.6,72.4,30.168495060306682,24.223010947632623,150,1,3.490428515390098,3.187303046980965,-0.7436416227055541,3.4067981699349983,7.940072135233319,3.4067981699349983,848.0,3.187303046980965
Asten,2715.432098765432,17242.0,246.0,7021.0,35.8,0.41903491474306925,2.9,74.3,14.643598615916956,22.38614396603467,0,0,3.5779478934066544,3.1084421945209373,-0.8698010337892373,2.684003285425703,7.906706372104427,0.0,0.0,0.0
Baarle-Nassau,2400.128834355828,7071.0,93.0,7612.0,35.8,0.41889407438834675,2.9,69.7,13.943281566509116,39.502383326433964,0,0,3.5779478934066544,3.6763610074649247,-0.8701371967764967,2.63499778412138,7.78327769587686,0.0,0.0,0.0
Baarn,4568.372881355932,25008.0,769.0,3254.0,41.5,0.47144913627639157,3.3,72.9,34.130619168787106,15.868620921516381,139,1,3.7256934272366524,2.764343632307254,-0.7519440591298412,3.53019490423625,8.426912377022752,3.53019490423625,769.0,2.764343632307254
Barendrecht,3673.3700787401576,48812.0,2493.0,1958.0,41.0,0.40461361960173725,3.2,75.4,27.29113924050633,8.912705364370636,122,1,3.713572066704308,2.1874778277605706,-0.9048226929224622,3.3065620795618664,8.208864797275558,3.3065620795618664,2493.0,2.1874778277605706
Barneveld,3594.889705882353,61655.0,351.0,17584.0,37.4,0.38238585678371584,2.8,77.9,21.76789955887343,36.38749146626961,342,1,3.6216707044204863,3.5942250745480346,-0.9613250838871003,3.0804363873060874,8.187268589818682,3.0804363873060874,351.0,3.5942250745480346
Beek,2254.2108843537417,16132.0,766.0,2107.0,35.7,0.46782791966278203,3.1,70.7,24.65880482310852,12.404494808586719,49,1,3.5751506887855933,2.518058891492779,-0.7596547437083904,3.205134030345474,7.720555250273715,3.205134030345474,766.0,2.518058891492779
Beekdaelen,2034.4545454545455,35966.0,459.0,7830.0,35.8,0.46613468275593617,2.9,69.8,15.013420817178647,17.04746210637929,98,1,3.5779478934066544,2.8360013425845247,-0.7632806678248133,2.7089445222230784,7.617983025316785,2.7089445222230784,459.0,2.8360013425845247
