municipality	avg_price	avg_surface	m2_price	closest_airport	distance_to_closest_airport
Uithoorn	492522.0	117.0	4209.589743589743	Schiphol	9.251011345015502
Urk	346323.0	128.0	2705.6484375	Schiphol	70.77067447116568
Utrecht	474406.0	95.0	4993.747368421053	Schiphol	33.42734464613383
Utrechtse Heuvelrug	565002.0	132.0	4280.318181818182	Schiphol	53.73098169419451
Vaals	339157.0	123.0	2757.3739837398375	Eindhoven	86.16940359751739
Valkenburg aan de Geul	374549.0	144.0	2601.034722222222	Eindhoven	72.68760453111221
Valkenswaard	445032.0	131.0	3397.1908396946565	Eindhoven	14.955768980833962
Veendam	269888.0	124.0	2176.516129032258	Schiphol	167.44146130603622
Veenendaal	393050.0	111.0	3540.990990990991	Schiphol	63.975763274425155
Veere	450324.0	140.0	3216.6	Schiphol	118.99014032364528
Veldhoven	486364.0	134.0	3629.582089552239	Eindhoven	4.301042136414032
Velsen	445225.0	103.0	4322.57281553398	Schiphol	16.860597605384207
Venlo	318113.0	129.0	2465.9922480620153	Eindhoven	54.70081939709819
Venray	369202.0	151.0	2445.046357615894	Eindhoven	41.43565125423391
Vijfheerenlanden	411710.0	127.0	3241.8110236220473	Schiphol	47.170130332253024
Vlaardingen	318185.0	94.0	3384.946808510638	Schiphol	52.770378928681225
Vlieland	526909.0	111.0	4746.927927927928	Schiphol	105.51272391215204
Vlissingen	274120.0	106.0	2586.0377358490564	Eindhoven	122.16910393313825
Voerendaal	373016.0	160.0	2331.35	Eindhoven	74.84966869974129
Voorne aan Zee	433128.0	124.0	3492.967741935484	Schiphol	64.47932352253706
Voorschoten	534837.0	121.0	4420.140495867769	Schiphol	29.989214571703855
Voorst	473723.0	146.0	3244.678082191781	Schiphol	92.42822463055666
Vught	606139.0	144.0	4209.298611111111	Eindhoven	24.11840125037618
Waadhoeke	273994.0	157.0	1745.1847133757963	Schiphol	116.57090247106977
Waalre	566029.0	151.0	3748.53642384106	Eindhoven	9.388177502544146
Waalwijk	394820.0	123.0	3209.918699186992	Eindhoven	36.832376554603634
Waddinxveen	395832.0	120.0	3298.6	Schiphol	31.185676873732305
Wageningen	448168.0	106.0	4228.0	Eindhoven	61.46182063002853
Wassenaar	799869.0	157.0	5094.707006369426	Schiphol	32.24542228516038
Waterland	497101.0	128.0	3883.6015625	Schiphol	23.66251297108848
Weert	354656.0	136.0	2607.764705882353	Eindhoven	32.61204950866523
West Betuwe	445305.0	141.0	3158.191489361702	Eindhoven	47.10981952320437
West Maas en Waal	421403.0	163.0	2585.294478527607	Eindhoven	45.422657468310604
Westerkwartier	343694.0	165.0	2082.9939393939394	Schiphol	146.64022225142196
Westerveld	423746.0	185.0	2290.518918918919	Schiphol	119.650440940877
Westervoort	363393.0	119.0	3053.72268907563	Eindhoven	69.67769938321608
Westerwolde	311773.0	156.0	1998.5448717948718	Schiphol	177.80197361191404
Westland	453597.0	123.0	3687.7804878048782	Schiphol	50.76615388084571
Weststellingwerf	365677.0	145.0	2521.9103448275864	Schiphol	105.97490528646485
Wierden	403015.0	146.0	2760.376712328767	Schiphol	123.18199767063075
Wijchen	404160.0	133.0	3038.7969924812032	Eindhoven	46.62905695782103
Wijdemeren	583088.0	125.0	4664.704	Schiphol	25.042638873602822
Wijk bij Duurstede	450410.0	128.0	3518.828125	Schiphol	53.1329259356903
Winterswijk	313199.0	157.0	1994.8980891719746	Eindhoven	109.60904495885963
Woensdrecht	368491.0	140.0	2632.0785714285716	Eindhoven	71.7241085523869
Woerden	488926.0	124.0	3942.951612903226	Schiphol	25.341003814591883
De Wolden	423009.0	169.0	2503.0118343195268	Schiphol	118.05143409570634
Wormerland	461791.0	115.0	4015.573913043478	Schiphol	22.007090372711794
Woudenberg	490476.0	130.0	3772.892307692308	Schiphol	53.112775590788054
Zaanstad	387053.0	103.0	3757.7961165048546	Schiphol	16.561476002882344
Zaltbommel	452933.0	145.0	3123.6758620689657	Eindhoven	40.79992588949133
Zandvoort	608461.0	106.0	5740.198113207547	Schiphol	14.677100098283304
Zeewolde	390515.0	132.0	2958.4469696969695	Schiphol	47.913746884634314
Zeist	545311.0	119.0	4582.44537815126	Schiphol	41.87981316594523
Zevenaar	348727.0	132.0	2641.871212121212	Eindhoven	71.95682836635622
Zoetermeer	391641.0	108.0	3626.3055555555557	Schiphol	33.29522269095023
Zoeterwoude	492073.0	130.0	3785.1769230769232	Schiphol	27.46205329176962
Zuidplas	465092.0	125.0	3720.736	Schiphol	36.5794587564619
Zundert	420661.0	157.0	2679.3694267515925	Eindhoven	50.81642270299379
Zutphen	365571.0	118.0	3098.0593220338983	Eindhoven	96.5620997304128
Zwartewaterland	362612.0	147.0	2466.7482993197277	Schiphol	94.66348955118384
Zwijndrecht	341125.0	106.0	3218.1603773584907	Schiphol	55.75034309893619
Zwolle	410024.0	110.0	3727.490909090909	Schiphol	95.7437733561072
