station_code,traffic_count
OSNH,14433.0
OST,27713.0
OT,22987.0
OTB,21375.0
OVN,28526.0
OW,24346.0
PARIS,7454.0
PASS,364.0
PMO,23590.0
PMR,24471.0
PMW,23504.0
POLTEN,364.0
PT,26553.0
RAI,42884.0
RAT,29981.0
RB,29066.0
RBB,710.0
RD,24545.0
REGENB,364.0
RF,1153.0
RH,23874.0
RHEINE,16057.0
RHN,26757.0
RL,22908.0
RLB,47161.0
RM,99919.0
RO,1153.0
ROSENH,702.0
RS,24351.0
RSD,106574.0
RSN,26909.0
RSW,48896.0
RTA,67407.0
RTB,92823.0
RTD,253666.0
RTN,28917.0
RTNG,5.0
RTST,4757.0
RTZ,43867.0
RV,26128.0
RVS,23607.0
SBK,18035.0
SD,21576.0
SDA,27829.0
SDM,107184.0
SDT,41053.0
SDTB,40972.0
SGL,26535.0
SGN,31838.0
SHL,267192.0
SK,23730.0
SKND,21689.0
SM,26269.0
SN,18035.0
SOG,26689.0
SPTN,28650.0
SPTZ,28238.0
SRN,24946.0
SSH,41886.0
ST,21801.0
STD,98074.0
STM,22768.0
STP,2493.0
STV,16215.0
STZ,21567.0
SWD,45608.0
SWK,45830.0
TB,101300.0
TBG,25484.0
TBR,23110.0
TBU,44734.0
TG,26130.0
TL,47220.0
TPSW,27606.0
TWL,22557.0
UHM,24305.0
UHZ,24305.0
UST,24305.0
UT,424116.0
UTG,66684.0
UTLN,61070.0
UTLR,39659.0
UTM,4788.0
UTO,88132.0
UTT,39630.0
UTVR,92460.0
UTZL,34862.0
VALTGV,18.0
VB,34340.0
VD,22909.0
VDL,26640.0
VDM,22800.0
VEM,20403.0
VG,23333.0
VH,29400.0
VHP,17777.0
VIERS,13720.0
VK,38302.0
VL,77080.0
VLB,33167.0
VNDC,26755.0
VNDW,26755.0
VP,23865.0
VRY,33172.0
VS,37519.0
VSS,28819.0
VST,47490.0
VSV,24921.0
VTN,39631.0
VZ,17777.0
WAD,40042.0
WADN,40039.0
WADT,40041.0
WBF,364.0
WC,41569.0
WD,101724.0
WDN,48660.0
WELS,364.0
WESEL,14690.0
WF,22505.0
WFM,24368.0
WH,27637.0
WK,16215.0
WL,39190.0
WM,36436.0
WORGL,702.0
WP,102945.0
WR,25383.0
WS,27909.0
WSM,24370.0
WT,72167.0
WTV,39226.0
WUPPH,10547.0
WUPPV,10547.0
WURZB,374.0
WV,21844.0
WW,47828.0
WWW,22908.0
WZ,26366.0
YPB,36734.0
ZA,19389.0
ZB,46048.0
ZBM,33667.0
ZD,106205.0
ZDK,23563.0
ZH,31257.0
ZL,260114.0
ZLSH,25304.0
ZLW,51175.0
ZP,116360.0
ZTM,33609.0
ZTMO,34132.0
ZUE,710.0
ZV,54366.0
ZVB,24227.0
ZVT,32903.0
ZWD,45940.0
ZZS,36409.0
NA,27180.0
