code,station_name,type,geo_lat,geo_lng,municipality,station_code,traffic_count
HD,Harderwijk,interchange_local_train_station,52.337501525879,5.619722366333,Harderwijk,HD,26623.0
HBZM,Hardinxveld Blauwe Zoom,local_train_station,51.82944,4.81556,Hardinxveld-Giessendam,HBZM,23633.0
GND,Hardinxveld-Giessendam,local_train_station,51.830554962158,4.8358335494995,Hardinxveld-Giessendam,GND,41199.0
HRN,Haren,local_train_station,53.176109313965,6.6172223091125,Groningen,HRN,27737.0
HLG,Harlingen,local_train_station,53.1704205,5.4251932,Harlingen,HLG,23456.0
HLGH,Harlingen Haven,local_train_station,53.174917,5.4112885,Harlingen,HLGH,23456.0
HK,Heemskerk,local_train_station,52.495277404785,4.6869444847107,Heemskerk,HK,27986.0
HAD,Heemstede-Aerdenhout,intercity_station,52.35916519165,4.6066665649414,Heemstede,HAD,65099.0
HR,Heerenveen,intercity_station,52.961387634277,5.9141664505005,Heerenveen,HR,46497.0
HRY,Heerenveen IJsstadion,,52.935276031494,5.9438886642456,Heerenveen,HRY,8.0
HWD,Heerhugowaard,interchange_local_train_station,52.669723510742,4.8227777481079,Dijk en Waard,HWD,58175.0
HRL,Heerlen,interchange_intercity_station,50.89083480835,5.9749999046326,Heerlen,HRL,101055.0
HRLW,Heerlen Woonboulevard,local_train_station,50.896667,5.952222,Heerlen,HRLW,26640.0
HZE,Heeze,local_train_station,51.384998321533,5.5694446563721,Heeze-Leende,HZE,21562.0
HLO,Heiloo,local_train_station,52.599445343018,4.7005553245544,Heiloo,HLO,58409.0
HNO,Heino,local_train_station,52.427223205566,6.2211112976074,Raalte,HNO,24523.0
HM,Helmond,interchange_intercity_station,51.475555419922,5.6619443893433,Helmond,HM,53733.0
HMH,Helmond 't Hout,local_train_station,51.46794,5.63085,Helmond,HMH,21744.0
HMBV,Helmond Brandevoort,local_train_station,51.462223052979,5.6072220802307,Helmond,HMBV,21747.0
HMBH,Helmond Brouwhuis,local_train_station,51.47068,5.70177,Helmond,HMBH,21831.0
HMN,Hemmen-Dodewaard,local_train_station,51.9222129,5.6737254,Neder-Betuwe,HMN,19325.0
HGL,Hengelo,interchange_intercity_station,52.261665344238,6.7938890457153,Hengelo,HGL,104953.0
HGLG,Hengelo Gezondheidspark,local_train_station,52.261667,6.767778,Hengelo,HGLG,22641.0
HGLO,Hengelo Oost,local_train_station,52.268890380859,6.8194446563721,Hengelo,HGLO,23947.0
HIL,Hillegom,local_train_station,52.302501678467,4.5655555725098,Hillegom,HIL,29265.0
HVS,Hilversum,interchange_intercity_station,52.225833892822,5.1819443702698,Hilversum,HVS,122416.0
HVSM,Hilversum Media Park,local_train_station,52.238056182861,5.1738886833191,Hilversum,HVSM,42497.0
HVSP,Hilversum Sportpark,local_train_station,52.216110229492,5.1872220039368,Hilversum,HVSP,41563.0
HNP,Hindeloopen,local_train_station,52.9464903,5.423063,Súdwest-Fryslân,HNP,16215.0
HB,Hoensbroek,local_train_station,50.905555725098,5.9305553436279,Heerlen,HB,18034.0
HVL,Hoevelaken,local_train_station,52.16652,5.45718,Amersfoort,HVL,41261.0
HOR,Hollandsche Rading,local_train_station,52.17777633667,5.1791667938232,De Bilt,HOR,28740.0
HON,Holten,local_train_station,52.283889770508,6.42027759552,Rijssen-Holten,HON,23326.0
HFD,Hoofddorp,local_train_station,52.293334960938,4.7005553245544,Haarlemmermeer,HFD,101485.0
HGV,Hoogeveen,local_train_station,52.733890533447,6.4736108779907,Hoogeveen,HGV,26424.0
