municipality,avg_price,avg_surface,population,pop_density,size,avg_income,unemp_rate,net_labor_participation,nearest_city,distance_to_nearest_city,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,total_traffic,m2_price
Zeewolde,390515.0,132.0,23692.0,96.0,24711.0,36.6,3.0,77.2,Utrecht,36.23654080191348,0,0,0,0,0,0,0,0,2958.4469696969695
Zeist,545311.0,119.0,66629.0,1374.0,4850.0,40.4,3.6,73.1,Utrecht,9.164305970454409,1,0,0,1,0,0,0,47658,4582.44537815126
Zevenaar,348727.0,132.0,45042.0,486.0,9262.0,33.8,3.2,71.7,'s-Hertogenbosch,59.31315953973561,1,0,0,1,0,0,0,54366,2641.871212121212
Zoetermeer,391641.0,108.0,126998.0,3689.0,3443.0,35.5,3.7,71.6,The Hague,13.00265438308106,3,0,0,1,0,2,0,101874,3626.3055555555557
Zoeterwoude,492073.0,130.0,9443.0,446.0,2116.0,40.2,2.7,76.9,The Hague,15.354058212832172,0,0,0,0,0,0,0,0,3785.1769230769232
Zuidplas,465092.0,125.0,46981.0,811.0,5796.0,39.6,2.9,76.4,Rotterdam,12.086396993520411,1,0,0,0,0,1,0,28932,3720.736
Zundert,420661.0,157.0,22518.0,187.0,12059.0,37.0,2.8,72.8,Breda,13.437601794829426,0,0,0,0,0,0,0,0,2679.3694267515925
Zutphen,365571.0,118.0,48510.0,1186.0,4092.0,33.2,3.5,70.3,Utrecht,76.19381061233595,1,0,1,0,0,0,0,116360,3098.0593220338983
Zwartewaterland,362612.0,147.0,23368.0,284.0,8236.0,36.0,2.7,78.0,Groningen,76.4069689648078,0,0,0,0,0,0,0,0,2466.7482993197277
Zwijndrecht,341125.0,106.0,45018.0,2217.0,2031.0,34.4,3.5,72.0,Rotterdam,14.44209687185162,1,0,0,0,0,1,0,45940,3218.1603773584907
Zwolle,410024.0,110.0,132411.0,1196.0,11067.0,34.2,3.4,76.2,Utrecht,82.93656265882358,2,0,1,0,0,1,0,285418,3727.490909090909
