"Bestaande koopwoningen; gemiddelde verkoopprijzen, regio"
""
"";"";"";"Perioden"
"Drechterland";"Gemiddelde verkoopprijs";"euro";"443472"
"Driebergen-Rijsenburg";"Gemiddelde verkoopprijs";"euro";""
"Drimmelen";"Gemiddelde verkoopprijs";"euro";"404271"
"Dronten";"Gemiddelde verkoopprijs";"euro";"391106"
"Drunen";"Gemiddelde verkoopprijs";"euro";""
"Druten";"Gemiddelde verkoopprijs";"euro";"393365"
"Duiveland";"Gemiddelde verkoopprijs";"euro";""
"Duiven";"Gemiddelde verkoopprijs";"euro";"378523"
"Den Dungen";"Gemiddelde verkoopprijs";"euro";""
"Dussen";"Gemiddelde verkoopprijs";"euro";""
"Dwingeloo";"Gemiddelde verkoopprijs";"euro";""
"Echt";"Gemiddelde verkoopprijs";"euro";""
"Echteld";"Gemiddelde verkoopprijs";"euro";""
"Echt-Susteren";"Gemiddelde verkoopprijs";"euro";"323939"
"Edam-Volendam";"Gemiddelde verkoopprijs";"euro";"401690"
"Ede";"Gemiddelde verkoopprijs";"euro";"428788"
"Eelde";"Gemiddelde verkoopprijs";"euro";""
"Eemnes";"Gemiddelde verkoopprijs";"euro";"469958"
"Eemsdelta";"Gemiddelde verkoopprijs";"euro";"258900"
"Eemsmond";"Gemiddelde verkoopprijs";"euro";""
"Eersel";"Gemiddelde verkoopprijs";"euro";"497606"
"Egmond";"Gemiddelde verkoopprijs";"euro";""
"Eibergen";"Gemiddelde verkoopprijs";"euro";""
"Eijsden";"Gemiddelde verkoopprijs";"euro";""
"Eijsden-Margraten";"Gemiddelde verkoopprijs";"euro";"401290"
"Eindhoven";"Gemiddelde verkoopprijs";"euro";"404275"
"Elburg";"Gemiddelde verkoopprijs";"euro";"391847"
"Elst";"Gemiddelde verkoopprijs";"euro";""
"Emmen";"Gemiddelde verkoopprijs";"euro";"297463"
"Enkhuizen";"Gemiddelde verkoopprijs";"euro";"340683"
"Enschede";"Gemiddelde verkoopprijs";"euro";"330955"
"Epe";"Gemiddelde verkoopprijs";"euro";"487968"
"Ermelo";"Gemiddelde verkoopprijs";"euro";"489950"
"Esch";"Gemiddelde verkoopprijs";"euro";""
"Etten-Leur";"Gemiddelde verkoopprijs";"euro";"404599"
"Ferwerderadeel";"Gemiddelde verkoopprijs";"euro";""
"Ferwerderadiel";"Gemiddelde verkoopprijs";"euro";""
"Fijnaart en Heijningen";"Gemiddelde verkoopprijs";"euro";""
"Franekeradeel";"Gemiddelde verkoopprijs";"euro";""
"De Friese Meren";"Gemiddelde verkoopprijs";"euro";""
"De Fryske Marren";"Gemiddelde verkoopprijs";"euro";"363811"
"Gaasterlân-Sleat";"Gemiddelde verkoopprijs";"euro";""
"Gasselte";"Gemiddelde verkoopprijs";"euro";""
"Geertruidenberg";"Gemiddelde verkoopprijs";"euro";"386542"
"Geldermalsen";"Gemiddelde verkoopprijs";"euro";""
"Geldrop";"Gemiddelde verkoopprijs";"euro";""
"Geldrop-Mierlo";"Gemiddelde verkoopprijs";"euro";"434446"
"Geleen";"Gemiddelde verkoopprijs";"euro";""
"Gemert";"Gemiddelde verkoopprijs";"euro";""
"Gemert-Bakel";"Gemiddelde verkoopprijs";"euro";"438779"
"Gendringen";"Gemiddelde verkoopprijs";"euro";""
"Gendt";"Gemiddelde verkoopprijs";"euro";""
"Genemuiden";"Gemiddelde verkoopprijs";"euro";""
"Gennep";"Gemiddelde verkoopprijs";"euro";"381468"
"Giessenlanden";"Gemiddelde verkoopprijs";"euro";""
"Gieten";"Gemiddelde verkoopprijs";"euro";""
"Gilze en Rijen";"Gemiddelde verkoopprijs";"euro";"404290"
"Goedereede";"Gemiddelde verkoopprijs";"euro";""
"Goeree-Overflakkee";"Gemiddelde verkoopprijs";"euro";"386668"
"Goes";"Gemiddelde verkoopprijs";"euro";"344828"
"Goirle";"Gemiddelde verkoopprijs";"euro";"469884"
"Gooise Meren";"Gemiddelde verkoopprijs";"euro";"656361"
"Goor";"Gemiddelde verkoopprijs";"euro";""
"Gorinchem";"Gemiddelde verkoopprijs";"euro";"395739"
"Gorssel";"Gemiddelde verkoopprijs";"euro";""
"Gouda";"Gemiddelde verkoopprijs";"euro";"363025"
"Graafstroom";"Gemiddelde verkoopprijs";"euro";""
"Graft-De Rijp";"Gemiddelde verkoopprijs";"euro";""
"Gramsbergen";"Gemiddelde verkoopprijs";"euro";""
"Grave";"Gemiddelde verkoopprijs";"euro";""
"'s-Graveland";"Gemiddelde verkoopprijs";"euro";""
"'s-Gravendeel";"Gemiddelde verkoopprijs";"euro";""
"'s-Gravenhage (gemeente)";"Gemiddelde verkoopprijs";"euro";"413689"
"'s-Gravenmoer";"Gemiddelde verkoopprijs";"euro";""
"'s-Gravenzande";"Gemiddelde verkoopprijs";"euro";""
"Groenlo";"Gemiddelde verkoopprijs";"euro";""
"Groesbeek";"Gemiddelde verkoopprijs";"euro";""
"Groningen (gemeente)";"Gemiddelde verkoopprijs";"euro";"349931"
"Grootegast";"Gemiddelde verkoopprijs";"euro";""
"Grubbenvorst";"Gemiddelde verkoopprijs";"euro";""
"Gulpen";"Gemiddelde verkoopprijs";"euro";""
"Gulpen-Wittem";"Gemiddelde verkoopprijs";"euro";"355648"
"Haaksbergen";"Gemiddelde verkoopprijs";"euro";"371944"
"Haaren";"Gemiddelde verkoopprijs";"euro";""
"Haarlem";"Gemiddelde verkoopprijs";"euro";"507289"
"Haarlemmerliede en Spaarnwoude";"Gemiddelde verkoopprijs";"euro";""
"Haarlemmermeer";"Gemiddelde verkoopprijs";"euro";"507636"
"Haelen";"Gemiddelde verkoopprijs";"euro";""
"Halderberge";"Gemiddelde verkoopprijs";"euro";"398819"
"Halsteren";"Gemiddelde verkoopprijs";"euro";""
"Den Ham";"Gemiddelde verkoopprijs";"euro";""
"Hardenberg";"Gemiddelde verkoopprijs";"euro";"349124"
"Harderwijk";"Gemiddelde verkoopprijs";"euro";"437767"
"Hardinxveld-Giessendam";"Gemiddelde verkoopprijs";"euro";"374112"
"Haren";"Gemiddelde verkoopprijs";"euro";""
"Harenkarspel";"Gemiddelde verkoopprijs";"euro";""
"Harlingen";"Gemiddelde verkoopprijs";"euro";"298340"
"Harmelen";"Gemiddelde verkoopprijs";"euro";""
"Hasselt";"Gemiddelde verkoopprijs";"euro";""
"Hattem";"Gemiddelde verkoopprijs";"euro";"469519"
"Havelte";"Gemiddelde verkoopprijs";"euro";""
"Hedel";"Gemiddelde verkoopprijs";"euro";""
"Heel";"Gemiddelde verkoopprijs";"euro";""
"Heemskerk";"Gemiddelde verkoopprijs";"euro";"429159"
"Heemstede";"Gemiddelde verkoopprijs";"euro";"708279"
"Heerde";"Gemiddelde verkoopprijs";"euro";"479099"
"Heerenveen";"Gemiddelde verkoopprijs";"euro";"362420"
"Heerewaarden";"Gemiddelde verkoopprijs";"euro";""
"Heerhugowaard";"Gemiddelde verkoopprijs";"euro";""
"Heerjansdam";"Gemiddelde verkoopprijs";"euro";""
"Heerlen";"Gemiddelde verkoopprijs";"euro";"246595"
"Heesch";"Gemiddelde verkoopprijs";"euro";""
"Heeze";"Gemiddelde verkoopprijs";"euro";""
"Heeze-Leende";"Gemiddelde verkoopprijs";"euro";"482660"
"Heiloo";"Gemiddelde verkoopprijs";"euro";"555327"
"Heino";"Gemiddelde verkoopprijs";"euro";""
"Helden";"Gemiddelde verkoopprijs";"euro";""
"Den Helder";"Gemiddelde verkoopprijs";"euro";"262913"
"Hellendoorn";"Gemiddelde verkoopprijs";"euro";"378769"
"Hellevoetsluis";"Gemiddelde verkoopprijs";"euro";""
"Helmond";"Gemiddelde verkoopprijs";"euro";"389050"
"Helvoirt";"Gemiddelde verkoopprijs";"euro";""
"Hendrik-Ido-Ambacht";"Gemiddelde verkoopprijs";"euro";"413446"
"Hengelo (Gld.)";"Gemiddelde verkoopprijs";"euro";""
"Hengelo (O.)";"Gemiddelde verkoopprijs";"euro";"323659"
"'s-Hertogenbosch";"Gemiddelde verkoopprijs";"euro";"443955"
"Heteren";"Gemiddelde verkoopprijs";"euro";""
"Heumen";"Gemiddelde verkoopprijs";"euro";"436401"
"Heusden";"Gemiddelde verkoopprijs";"euro";"445212"
"Heythuysen";"Gemiddelde verkoopprijs";"euro";""
"Hillegom";"Gemiddelde verkoopprijs";"euro";"428285"
"Hilvarenbeek";"Gemiddelde verkoopprijs";"euro";"520360"
"Hilversum";"Gemiddelde verkoopprijs";"euro";"505257"
"Hoeksche Waard";"Gemiddelde verkoopprijs";"euro";"405396"
"Hoevelaken";"Gemiddelde verkoopprijs";"euro";""
"Hoeven";"Gemiddelde verkoopprijs";"euro";""
"Hof van Twente";"Gemiddelde verkoopprijs";"euro";"396306"
"Het Hogeland";"Gemiddelde verkoopprijs";"euro";"285779"
"Hollands Kroon";"Gemiddelde verkoopprijs";"euro";"379619"
"Holten";"Gemiddelde verkoopprijs";"euro";""
"Hontenisse";"Gemiddelde verkoopprijs";"euro";""
"Hooge en Lage Mierde";"Gemiddelde verkoopprijs";"euro";""
"Hooge en Lage Zwaluwe";"Gemiddelde verkoopprijs";"euro";""
"Hoogeloon, Hapert en Casteren";"Gemiddelde verkoopprijs";"euro";""
"Hoogeveen";"Gemiddelde verkoopprijs";"euro";"307248"
"Hoogezand-Sappemeer";"Gemiddelde verkoopprijs";"euro";""
"Hoorn";"Gemiddelde verkoopprijs";"euro";"379412"
"Horst";"Gemiddelde verkoopprijs";"euro";""
"Horst aan de Maas";"Gemiddelde verkoopprijs";"euro";"364033"
"Houten";"Gemiddelde verkoopprijs";"euro";"525070"
"Huijbergen";"Gemiddelde verkoopprijs";"euro";""
"Huissen";"Gemiddelde verkoopprijs";"euro";""
"Huizen";"Gemiddelde verkoopprijs";"euro";"531067"
"Hulst";"Gemiddelde verkoopprijs";"euro";"287857"
"Hummelo en Keppel";"Gemiddelde verkoopprijs";"euro";""
"Hunsel";"Gemiddelde verkoopprijs";"euro";""
"IJsselham";"Gemiddelde verkoopprijs";"euro";""
"IJsselmuiden";"Gemiddelde verkoopprijs";"euro";""
"IJsselstein";"Gemiddelde verkoopprijs";"euro";"475722"
"Jacobswoude";"Gemiddelde verkoopprijs";"euro";""
"Kaag en Braassem";"Gemiddelde verkoopprijs";"euro";"487753"
"Kampen";"Gemiddelde verkoopprijs";"euro";"353228"
"Kapelle";"Gemiddelde verkoopprijs";"euro";"374884"
"Katwijk";"Gemiddelde verkoopprijs";"euro";"467919"
"Kerkrade";"Gemiddelde verkoopprijs";"euro";"242591"
"Kerkwijk";"Gemiddelde verkoopprijs";"euro";""
"Kessel";"Gemiddelde verkoopprijs";"euro";""
"Kesteren";"Gemiddelde verkoopprijs";"euro";""
"Klundert";"Gemiddelde verkoopprijs";"euro";""
"Koggenland";"Gemiddelde verkoopprijs";"euro";"399324"
"Kollumerland en Nieuwkruisland";"Gemiddelde verkoopprijs";"euro";""
"Korendijk";"Gemiddelde verkoopprijs";"euro";""
"Krimpen aan den IJssel";"Gemiddelde verkoopprijs";"euro";"425298"
"Krimpenerwaard";"Gemiddelde verkoopprijs";"euro";"420436"
"Laarbeek";"Gemiddelde verkoopprijs";"euro";"434148"
"Landerd";"Gemiddelde verkoopprijs";"euro";""
"Land van Cuijk";"Gemiddelde verkoopprijs";"euro";"395464"
"Landgraaf";"Gemiddelde verkoopprijs";"euro";"271284"
"Landsmeer";"Gemiddelde verkoopprijs";"euro";"634565"
"Langbroek";"Gemiddelde verkoopprijs";"euro";""
"Langedijk";"Gemiddelde verkoopprijs";"euro";""
"Lansingerland";"Gemiddelde verkoopprijs";"euro";"525887"
"Laren (NH.)";"Gemiddelde verkoopprijs";"euro";"1050433"
"Leek";"Gemiddelde verkoopprijs";"euro";""
"Leende";"Gemiddelde verkoopprijs";"euro";""
"Leerdam";"Gemiddelde verkoopprijs";"euro";""
"Leersum";"Gemiddelde verkoopprijs";"euro";""
"Leeuwarden";"Gemiddelde verkoopprijs";"euro";"294731"
"Leeuwarderadeel";"Gemiddelde verkoopprijs";"euro";""
"Leiden";"Gemiddelde verkoopprijs";"euro";"454317"
"Leiderdorp";"Gemiddelde verkoopprijs";"euro";"460174"
"Leidschendam";"Gemiddelde verkoopprijs";"euro";""
"Leidschendam-Voorburg";"Gemiddelde verkoopprijs";"euro";"446942"
"Lelystad";"Gemiddelde verkoopprijs";"euro";"372216"
"Lemsterland";"Gemiddelde verkoopprijs";"euro";""
"Leudal";"Gemiddelde verkoopprijs";"euro";"361361"
"Leusden";"Gemiddelde verkoopprijs";"euro";"464698"
"Lichtenvoorde";"Gemiddelde verkoopprijs";"euro";""
